Season,DayZero,RegionW,RegionX,RegionY,RegionZ
2002,10/29/2001,East,Midwest,South,West
2003,11/04/2002,East,South,Midwest,West
2004,11/03/2003,Atlanta,Phoenix,EastRutherford,StLouis
2005,11/01/2004,Albuquerque,Chicago,Austin,Syracuse
2006,10/31/2005,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,10/30/2006,East,South,Midwest,West
2008,11/05/2007,East,Midwest,South,West
2009,11/03/2008,East,South,Midwest,West
2010,11/02/2009,East,South,Midwest,West
2011,11/01/2010,East,West,Southeast,Southwest
2012,10/31/2011,East,Midwest,South,West
2013,11/05/2012,East,South,Midwest,West
2014,11/04/2013,East,South,Midwest,West
2015,11/03/2014,East,South,Midwest,West
2016,11/02/2015,East,Midwest,South,West
2017,10/31/2016,East,West,Midwest,South
2018,10/30/2017,East,Midwest,South,West
2019,11/05/2018,East,West,Midwest,South
2020,11/04/2019,NA1,NA2,NA3,NA4
2021,11/02/2020,East,West,Midwest,South
2022,11/01/2021,East,West,Midwest,South
2023,10/31/2022,East,South,Midwest,West
2024,11/06/2023,East,West,Midwest,South
2025,11/04/2024,East,Midwest,South,West
